	Time 			Values

	19 		[0, -0.0018449358583085451, -0.0371996719194635, 0.04514677198491673, -0.022572258824908195, -0.03070041240106499, 0]
	20 		[0, 0.0030356401139129607, -0.03743414939916692, 0.03296642049012393, -0.007671569799130567, -0.02878075330071451, 0]
	21 		[0, 0.007335453774569705, -0.035041819841894126, 0.021044109193276227, 0.0021459978866691246, -0.024646659666457918, 0]
	22 		[0, 0.010798749532985258, -0.03059241862757057, 0.010497241151390413, 0.007582890896990326, -0.0196701044839031, 0]
	23 		[0, 0.013272958169808422, -0.02476228190059595, 0.002046654170193833, 0.00960545613790288, -0.014809977388939494, 0]
	24 		[0, 0.014709123636156864, -0.01824554752525647, -0.003971246499632373, 0.009263209669374361, -0.010642927797978466, 0]
	25 		[0, 0.015151176622294316, -0.011680654116571789, -0.007552905424993069, 0.007547448079201607, -0.007425699803430755, 0]
	26 		[0, 0.014717361309079, -0.0055971188466064315, -0.008951502968420743, 0.005294353802625065, -0.005173898877345644, 0]
	27 		[0, 0.01357733100126993, -0.0003842083694105521, -0.008590411415048922, 0.003131694083202907, -0.0037442379968767115, 0]
	28 		[0, 0.011928190672287509, 0.003719666771718759, -0.006978155055638479, 0.0014637233085025127, -0.002910277420141494, 0]
	29 		[0, 0.009972208491786726, 0.006620029930155405, -0.0046338436047076315, 0.00048608167128047714, -0.002424972324803688, 0]
	30 		[0, 0.00789817868904396, 0.008346301311735423, -0.0020287980350953815, 0.000221243494197033, -0.002066539910653969, 0]
	31 		[0, 0.005867618688946537, 0.009023518074392053, 0.00045302580111492496, 0.0005651619965328812, -0.0016669319226890024, 0]
	32 		[0, 0.0040062265935292135, 0.008840506738335984, 0.0025358790109929453, 0.0013368529900506325, -0.0011243521848402188, 0]
	33 		[0, 0.002400384927046064, 0.008018554751431383, 0.004056426198720344, 0.002324396939079417, -0.0004027089269653373, 0]
	34 		[0, 0.001098017467236383, 0.006783686499471513, 0.004954744931363253, 0.00332287217040597, 0.0004783477315068223, 0]
	35 		[0, 0.00011280447139789596, 0.005344583688466642, 0.005256188715758761, 0.004161766861606561, 0.0014589959804701099, 0]
	36 		[0, -0.0005693690485851714, 0.003877144875792174, 0.005048230487536139, 0.004721229128231012, 0.002456928764969099, 0]
	37 		[0, -0.0009828410269860468, 0.0025157626986296233, 0.004455988710222651, 0.004937956569136662, 0.003384301811632127, 0]
	38 		[0, -0.001174456235941494, 0.0013506797135377153, 0.0036194154786871663, 0.004802528141212355, 0.0041618961204812005, 0]
	39 		[0, -0.0011964841706410215, 0.0004302967718493497, 0.002674246719162064, 0.004350536788291177, 0.004729293302493844, 0]
	40 		[0, -0.0011007107457920626, -0.00023294885097509266, 0.0017379115679866358, 0.003650035918939708, 0.005050640619417041, 0]
