	Time 			Values

	38 		[0, -2.3994908107208633e-05, 0.0001538910359659325, 0.00023116662745944504, -0.0005314498854746503, -0.00043731936876690745, 0]
	39 		[0, -3.723256057614805e-05, 7.752435800181551e-05, 0.0002975153447661397, -0.0002572350077128324, -0.0005272832336281745, 0]
	40 		[0, -3.761496518233797e-05, 6.99164018953865e-06, 0.0002843625187893896, -1.5447597293800103e-05, -0.000491925553113443, 0]
	41 		[0, -2.908517891044581e-05, -4.440719664989646e-05, 0.0002178247038248442, 0.00015654094071485138, -0.00037473701382025726, 0]
	42 		[0, -1.62629846015973e-05, -7.144042755694504e-05, 0.00012714821153556554, 0.00024593209619798727, -0.00022234990759712367, 0]
	43 		[0, -3.2671850065798447e-06, -7.557246633525345e-05, 3.782948629307134e-05, 0.000259923389923968, -7.453789462359751e-05, 0]
	44 		[0, 6.9961695369718e-06, -6.263322991554145e-05, -3.2457983896412535e-05, 0.00021844583663082744, 4.156785025378987e-05, 0]
	45 		[0, 1.3076280892171532e-05, -4.029411087324009e-05, -7.513667871949088e-05, 0.00014646665223024214, 0.00011309307642690269, 0]
	46 		[0, 1.4843974528283662e-05, -1.592489298042938e-05, -8.977113214586346e-05, 6.753710009950968e-05, 0.00013974480190651783, 0]
	47 		[0, 1.3123592518766418e-05, 4.844212231017272e-06, -8.174232148949731e-05, -4.794497183812666e-07, 0.0001301350139672045, 0]
	48 		[0, 9.237167860197654e-06, 1.8772296553987526e-05, -5.943023031569384e-05, -4.7279834593248006e-05, 9.74214668310104e-05, 0]
	49 		[0, 4.581338825899799e-06, 2.4971939152526494e-05, -3.1623082204869057e-05, -6.99238956671975e-05, 5.5336162150789805e-05, 0]
	50 		[0, 3.1451172535903756e-07, 2.439984169971593e-05, -5.612347513054671e-06, -7.121859784607275e-05, 1.528066073789329e-05, 0]
	51 		[0, -2.8140964184452126e-06, 1.911936661092842e-05, 1.3843004733361563e-05, -5.742866129418672e-05, -1.5246478638857313e-05, 0]
	52 		[0, -4.500493140199962e-06, 1.1553863209609165e-05, 2.4730598690892674e-05, -3.5974559365772293e-05, -3.2970606964463e-05, 0]
	53 		[0, -4.819602756351117e-06, 3.886387643270304e-06, 2.7377467642494484e-05, -1.358561914468659e-05, -3.821841498551186e-05, 0]
	54 		[0, -4.100500522672126e-06, -2.3147437564907505e-06, 2.3688698491183053e-05, 4.8546378806094735e-06, -3.375841841839137e-05, 0]
	55 		[0, -2.7860324224427502e-06, -6.234832824767991e-06, 1.6291665224627072e-05, 1.674404264694967e-05, -2.3498324608564977e-05, 0]
	56 		[0, -1.3101702137360638e-06, -7.757344930070407e-06, 7.7876812783136e-06, 2.1604697020518027e-05, -1.1344727463817607e-05, 0]
	57 		[0, -1.2959544043246874e-08, -7.2827826874930295e-06, 2.311694823940436e-07, 2.054199417773332e-05, -4.0678421516894505e-07, 0]
	58 		[0, 9.006281779041935e-07, -5.495843029935245e-06, -5.125415668231019e-06, 1.5544032216093876e-05, 7.398159655273286e-06, 0]
	59 		[0, 1.3624515121700507e-06, -3.1434697472084837e-06, -7.848006914410715e-06, 8.811223329574615e-06, 1.137763182249017e-05, 0]
	60 		[0, 1.4147723525285986e-06, -8.656821290412544e-07, -8.166209257208044e-06, 2.243210926465672e-06, 1.1837432615458107e-05, 0]
	61 		[0, 1.1692895305266058e-06, 9.020541925682893e-07, -6.729689107104712e-06, -2.859599353536026e-06, 9.719278559018208e-06, 0]
	62 		[0, 7.642103738239181e-07, 1.956235356761783e-06, -4.3515465889234215e-06, -5.883242750193562e-06, 6.217109161687646e-06, 0]
	63 		[0, 3.2862836077271574e-07, 2.297698731370734e-06, -1.7946663391327025e-06, -6.821400678702411e-06, 2.456615839943149e-06, 0]
	64 		[0, -4.0741070841804924e-08, 2.0708429762094062e-06, 3.683123547522999e-07, -6.096127366194465e-06, -7.155633745560425e-07, 0]
	65 		[0, -2.894111751575295e-07, 1.4918152862473402e-06, 1.8148163029170606e-06, -4.34453296979423e-06, -2.822720293239956e-06, 0]
	66 		[0, -4.035352921490647e-07, 7.834802361367991e-07, 2.4636095807548267e-06, -2.22500357709678e-06, -3.7462400836028033e-06, 0]
	67 		[0, -4.0058649862889837e-07, 1.2833324495234667e-07, 2.419637721254517e-06, -2.766190795891745e-07, -3.6440564041133946e-06, 0]
	68 		[0, -3.164815295907171e-07, -3.5642471842839144e-07, 1.8974306427466644e-06, 1.1554068862927373e-06, -2.8367744579309863e-06, 0]
	69 		[0, -1.928080573894889e-07, -6.231779427611456e-07, 1.1449878518627595e-06, 1.9326884629909252e-06, -1.6943032610884634e-06, 0]
	70 		[0, -6.670880019697347e-08, -6.828099600747625e-07, 3.834631024877744e-07, 2.090674699327787e-06, -5.459692721947505e-07, 0]
	71 		[0, 3.531964486161521e-08, -5.850561579409087e-07, -2.2979074557817844e-07, 1.7800508469530992e-06, 3.745260581018572e-07, 0]
	72 		[0, 9.962175338882499e-08, -3.968234084353035e-07, -6.142454742806119e-07, 1.2020508483602752e-06, 9.484136111838051e-07, 0]
	73 		[0, 1.243192410960317e-07, -1.834787145205918e-07, -7.597492399187321e-07, 5.526443820170013e-07, 1.1620792765229571e-06, 0]
	74 		[0, 1.1617427013709773e-07, 3.97933451040954e-09, -7.076969956363962e-07, -1.5682588022143198e-08, 1.0788011006485934e-06, 0]
	75 		[0, 8.66332857890221e-08, 1.350119766387683e-07, -5.273201727831257e-07, -4.119984519613301e-07, 8.032198549781412e-07, 0]
	76 		[0, 4.809846726192054e-08, 1.9966148624785022e-07, -2.933608318526399e-07, -6.071463856369373e-07, 4.479154717481071e-07, 0]
	77 		[0, 1.1116164665459126e-08, 2.0445314389068786e-07, -6.925426834191893e-08, -6.213595351409564e-07, 1.0825670919722883e-07, 0]
	78 		[0, -1.721951948724164e-08, 1.6616520321030296e-07, 1.023991695951883e-07, -5.055220906335905e-07, -1.5181729377993703e-07, 0]
	79 		[0, -3.36852900167191e-08, 1.0536668640061308e-07, 2.0230158972945366e-07, -3.2176471765450517e-07, -3.034337543225492e-07, 0]
	80 		[0, -3.843480331261596e-08, 4.1105332328008436e-08, 2.314592894041333e-07, -1.275312228020151e-07, -3.4823708486235134e-07, 0]
	81 		[0, -3.3964269025463023e-08, -1.2516463171741313e-08, 2.0495036952635502e-07, 3.467845203283258e-08, -3.0900202219751914e-07, 0]
	82 		[0, -2.3908643872629603e-08, -4.7742744454149e-08, 1.4468429695125918e-07, 1.4149048037169746e-07, -2.1874709713582716e-07, 0]
	83 		[0, -1.1963639847703577e-08, -6.285833691175526e-08, 7.292338349667632e-08, 1.877178587774737e-07, -1.1100139271248382e-07, 0]
	84 		[0, -1.1154377718082754e-09, -6.074554056378982e-08, 7.655928933414813e-09, 1.8200983698341937e-07, -1.2856847492810229e-08, 0]
	85 		[0, 6.7566142416175204e-09, -4.6934435703947316e-08, -3.978886063428749e-08, 1.4098545702419635e-07, 5.8611053249174595e-08, 0]
	86 		[0, 1.0934265144206554e-08, -2.769348885806798e-08, -6.50652409927204e-08, 8.349188837414264e-08, 9.682783632095457e-08, 0]
	87 		[0, 1.1662384965413414e-08, -8.536612090383476e-09, -6.962047511308362e-08, 2.6115971368217512e-08, 1.0393033538101942e-07, 0]
	88 		[0, 9.813865235357994e-09, 6.673494683377878e-09, -5.8681082289733715e-08, -1.9511991563870657e-08, 8.774124079884613e-08, 0]
	89 		[0, 6.526212091096261e-09, 1.602045576200937e-08, -3.906925226554975e-08, -4.76070546314089e-08, 5.848893376268311e-08, 0]
	90 		[0, 2.892102098071024e-09, 1.9346327888861845e-08, -1.7343386459482686e-08, -5.766737729347321e-08, 2.601405483523399e-08, 0]
	91 		[0, -2.492144125544626e-10, 1.7762207510858356e-08, 1.4557552753953287e-09, -5.3006059746815166e-08, -2.1147253586269615e-09, 0]
	92 		[0, -2.4071867482731414e-09, 1.3046230819011427e-08, 1.4378401741470272e-08, -3.894429591200976e-08, -2.1463316424025908e-08, 0]
	93 		[0, -3.4361689135812847e-09, 7.084677865972357e-09, 2.0544174852233208e-08, -2.1133406727952726e-08, -3.070159828502309e-08, 0]
	94 		[0, -3.462711418432508e-09, 1.4569232003571354e-09, 2.070656117990863e-08, -4.308289690749207e-09, -3.0951226236749596e-08, 0]
	95 		[0, -2.7791489638690234e-09, -2.7941445291329184e-09, 1.6614803296409052e-08, 8.40264645399753e-09, -2.482902831159315e-08, 0]
	96 		[0, -1.7350936567601526e-09, -5.2146396703517045e-09, 1.0362967467132252e-08, 1.5636164615600687e-08, -1.5470778813445787e-08, 0]
	97 		[0, -6.494902837761514e-10, -5.857010807440368e-09, 3.862215147017215e-09, 1.754708361355583e-08, -5.739522379234083e-09, 0]
	98 		[0, 2.450086380979325e-10, -5.119093855373485e-09, -1.4931031442217058e-09, 1.5326083687702587e-08, 2.2755145706578745e-09, 0]
